GLAID,Borough,Priority,Empty,Bedroom
5862,Barnet,3,1 to 3 years,3B
5863,Barnet,3,Over 5 years,2B
5864,Barnet,3,1 to 3 years,3B
5865,Barnet,3,Over 5 years,4B
5866,Barnet,3,Over 5 years,2B
5867,Barnet,3,1 to 3 years,2B
5868,Barnet,3,Over 5 years,3B
5869,Barnet,3,Over 5 years,1B
5870,Barnet,3,1 to 3 years,1B
5871,Barnet,2,3 to 5 years,3B
5872,Barnet,1,Over 5 years,1B
5873,Barnet,3,3 to 5 years,2B
5875,Barnet,3,Over 5 years,2B
5876,Barnet,5,Over 5 years,2B
5877,Barnet,1,1 to 3 years,1B
5878,Barnet,3,1 to 3 years,4B
5879,Barnet,3,1 to 3 years,2B
5880,Barnet,3,1 to 3 years,4B
5881,Barnet,1,1 to 3 years,3B
5882,Barnet,3,1 to 3 years,4B
5883,Barnet,3,Over 5 years,3B
5884,Barnet,5,Over 5 years,3B
5885,Barnet,3,1 to 3 years,3B
5886,Barnet,3,1 to 3 years,3B
5887,Barnet,3,1 to 3 years,2B
5888,Barnet,2,1 to 3 years,2B
5889,Barnet,3,3 to 5 years,2B
5891,Barnet,5,Over 5 years,2B
5892,Barnet,3,Over 5 years,2B
5893,Barnet,1,1 to 3 years,1B
5894,Barnet,3,Over 5 years,3B
5895,Barnet,2,1 to 3 years,2B
5896,Barnet,2,1 to 3 years,2B
5897,Barnet,5,Over 5 years,2B
5898,Barnet,5,Over 5 years,2B
5899,Barnet,3,1 to 3 years,2B
5900,Barnet,2,Over 5 years,1B
5901,Barnet,3,1 to 3 years,3B
5902,Barnet,3,1 to 3 years,2B
5903,Barnet,3,Over 5 years,3B
5904,Barnet,2,1 to 3 years,2B
5905,Barnet,5,Over 5 years,3B
5906,Barnet,3,3 to 5 years,2B
5907,Barnet,3,Over 5 years,1B
5908,Barnet,3,1 to 3 years,3B
5910,Barnet,3,Over 5 years,2B
5911,Barnet,3,1 to 3 years,2B
5912,Barnet,3,1 to 3 years,1B
5913,Barnet,1,1 to 3 years,4B
5914,Barnet,3,Over 5 years,3B
5915,Barnet,3,1 to 3 years,1B
5916,Barnet,3,Over 5 years,1B
5917,Barnet,3,Over 5 years,4B
5918,Barnet,1,1 to 3 years,3B
5919,Barnet,3,Over 5 years,1B
5920,Barnet,3,Over 5 years,2B
5921,Barnet,3,Over 5 years,2B
5922,Barnet,3,1 to 3 years,2B
5923,Barnet,3,3 to 5 years,2B
5925,Barnet,1,1 to 3 years,3B
5926,Barnet,3,1 to 3 years,3B
5927,Barnet,2,1 to 3 years,3B
5928,Barnet,3,1 to 3 years,2B
5929,Barnet,3,1 to 3 years,2B
5930,Barnet,3,1 to 3 years,3B
5931,Barnet,3,1 to 3 years,2B
5932,Barnet,1,1 to 3 years,2B
5933,Barnet,3,Over 5 years,2B
5934,Barnet,1,3 to 5 years,5B+
5935,Barnet,3,1 to 3 years,3B
5936,Barnet,3,Over 5 years,3B
5937,Barnet,3,3 to 5 years,3B
5938,Barnet,3,1 to 3 years,3B
5939,Barnet,1,1 to 3 years,2B
5940,Barnet,3,Over 5 years,3B
5941,Barnet,3,1 to 3 years,3B
5942,Barnet,3,1 to 3 years,3B
5943,Barnet,3,Over 5 years,3B
5944,Barnet,3,Over 5 years,3B
5945,Barnet,3,3 to 5 years,5B+
5946,Barnet,3,Over 5 years,2B
5947,Barnet,3,1 to 3 years,3B
5948,Barnet,2,1 to 3 years,1B
5949,Barnet,3,Over 5 years,2B
5950,Barnet,1,1 to 3 years,1B
5951,Barnet,2,3 to 5 years,2B
5952,Barnet,3,1 to 3 years,3B
5953,Barnet,2,1 to 3 years,2B
5954,Barnet,2,3 to 5 years,5B+
5955,Barnet,1,3 to 5 years,2B
5956,Barnet,3,1 to 3 years,2B
5957,Barnet,1,1 to 3 years,3B
5958,Barnet,3,Over 5 years,3B
5959,Barnet,1,3 to 5 years,1B
5960,Barnet,3,1 to 3 years,2B
5961,Barnet,3,3 to 5 years,3B
5962,Barnet,3,1 to 3 years,2B
5963,Barnet,3,3 to 5 years,2B
5965,Barnet,1,1 to 3 years,2B
5966,Barnet,3,3 to 5 years,4B
5967,Barnet,1,Over 5 years,3B
5968,Barnet,3,1 to 3 years,4B
5970,Barnet,5,Over 5 years,2B
5971,Barnet,3,3 to 5 years,3B
5972,Barnet,3,1 to 3 years,3B
5973,Barnet,3,1 to 3 years,3B
5974,Barnet,1,3 to 5 years,3B
5975,Barnet,3,1 to 3 years,2B
5977,Barnet,3,3 to 5 years,4B
5979,Barnet,3,1 to 3 years,4B
5982,Barnet,3,Over 5 years,5B+
5983,Barnet,3,Over 5 years,2B
5984,Barnet,5,1 to 3 years,4B
5986,Barnet,3,Over 5 years,2B
5987,Barnet,3,1 to 3 years,3B
5988,Barnet,3,1 to 3 years,2B
5989,Barnet,3,3 to 5 years,3B
5990,Barnet,3,Over 5 years,2B
5992,Barnet,3,1 to 3 years,3B
5993,Barnet,3,Over 5 years,3B
5994,Barnet,3,1 to 3 years,2B
5995,Barnet,3,1 to 3 years,3B
5996,Barnet,3,Over 5 years,4B
5997,Barnet,5,1 to 3 years,3B
5998,Barnet,3,1 to 3 years,2B
5999,Barnet,3,1 to 3 years,3B
6000,Barnet,3,Over 5 years,3B
6001,Barnet,3,1 to 3 years,3B
6002,Barnet,3,1 to 3 years,2B
6003,Barnet,3,Over 5 years,2B
6004,Barnet,3,Over 5 years,3B
6005,Barnet,5,Over 5 years,3B
6006,Barnet,1,1 to 3 years,3B
6007,Barnet,3,3 to 5 years,3B
6008,Barnet,3,3 to 5 years,2B
6009,Barnet,3,1 to 3 years,2B
6010,Barnet,5,1 to 3 years,3B
6011,Barnet,1,1 to 3 years,2B
6012,Barnet,3,Over 5 years,2B
6013,Barnet,5,Over 5 years,1B
6014,Barnet,3,1 to 3 years,2B
6015,Barnet,3,3 to 5 years,2B
6016,Barnet,3,Over 5 years,2B
6017,Barnet,3,Over 5 years,1B
6018,Barnet,3,Over 5 years,1B
6019,Barnet,1,Over 5 years,2B
6020,Barnet,1,3 to 5 years,3B
6021,Barnet,3,Over 5 years,2B
6022,Barnet,3,Over 5 years,2B
6023,Barnet,3,1 to 3 years,3B
6024,Barnet,4,Over 5 years,5B+
6025,Barnet,3,Over 5 years,2B
6027,Barnet,3,1 to 3 years,3B
6028,Barnet,3,3 to 5 years,2B
6030,Barnet,3,1 to 3 years,2B
6032,Barnet,5,Over 5 years,1B
6034,Barnet,3,Over 5 years,2B
6035,Barnet,3,Over 5 years,2B
6036,Barnet,3,3 to 5 years,1B
6037,Barnet,3,1 to 3 years,2B
6038,Barnet,3,3 to 5 years,3B
6039,Barnet,5,Over 5 years,2B
6040,Barnet,3,1 to 3 years,1B
6041,Barnet,3,Over 5 years,2B
6042,Barnet,1,Over 5 years,4B
6043,Barnet,3,Over 5 years,3B
6044,Barnet,3,3 to 5 years,3B
6045,Barnet,3,Over 5 years,3B
6046,Barnet,5,1 to 3 years,4B
6047,Barnet,3,1 to 3 years,2B
6048,Barnet,1,1 to 3 years,1B
6049,Barnet,3,3 to 5 years,2B
6050,Barnet,3,Over 5 years,2B
6051,Barnet,3,1 to 3 years,2B
6053,Barnet,3,Over 5 years,3B
6054,Barnet,3,1 to 3 years,4B
6055,Barnet,5,3 to 5 years,2B
6057,Barnet,3,Over 5 years,4B
6059,Barnet,1,1 to 3 years,2B
6060,Barnet,1,1 to 3 years,3B
6061,Barnet,3,Over 5 years,2B
6062,Barnet,3,1 to 3 years,2B
6063,Barnet,3,1 to 3 years,1B
6064,Barnet,5,Over 5 years,2B
6065,Barnet,5,3 to 5 years,2B
6066,Barnet,5,Over 5 years,5B+
6067,Barnet,2,Over 5 years,3B
6068,Barnet,3,Over 5 years,3B
6069,Barnet,3,1 to 3 years,1B
6070,Barnet,3,1 to 3 years,4B
6072,Barnet,5,Over 5 years,2B
6073,Barnet,2,Over 5 years,3B
6074,Barnet,3,1 to 3 years,1B
6075,Barnet,3,1 to 3 years,3B
6077,Barnet,3,1 to 3 years,1B
6079,Barnet,5,Over 5 years,2B
6082,Barnet,1,Over 5 years,3B
6083,Barnet,1,1 to 3 years,1B
6084,Barnet,1,Over 5 years,1B
6085,Barnet,3,1 to 3 years,3B
6086,Barnet,3,1 to 3 years,3B
6087,Barnet,3,1 to 3 years,2B
6088,Barnet,1,1 to 3 years,2B
6089,Barnet,3,1 to 3 years,2B
6090,Barnet,3,Over 5 years,2B
6091,Barnet,3,Over 5 years,2B
6092,Barnet,3,1 to 3 years,1B
6093,Barnet,3,Over 5 years,3B
6094,Barnet,3,Over 5 years,2B
6095,Barnet,3,Over 5 years,3B
6096,Barnet,2,3 to 5 years,4B
6097,Barnet,4,3 to 5 years,3B
6098,Barnet,2,1 to 3 years,3B
6099,Barnet,3,1 to 3 years,3B
6100,Barnet,2,1 to 3 years,3B
6101,Barnet,3,Over 5 years,3B
6103,Barnet,5,Over 5 years,2B
6104,Barnet,3,Over 5 years,5B+
6105,Barnet,1,3 to 5 years,4B
6106,Barnet,3,Over 5 years,2B
6107,Barnet,3,Over 5 years,2B
6108,Barnet,1,1 to 3 years,5B+
6109,Barnet,3,Over 5 years,2B
6111,Barnet,1,1 to 3 years,3B
6112,Barnet,3,3 to 5 years,4B
6113,Barnet,3,1 to 3 years,5B+
6115,Barnet,3,Over 5 years,1B
6116,Barnet,5,Over 5 years,3B
6117,Barnet,5,3 to 5 years,2B
6118,Barnet,3,1 to 3 years,2B
6119,Barnet,3,3 to 5 years,2B
6120,Barnet,5,Over 5 years,2B
6121,Barnet,3,Over 5 years,2B
6122,Barnet,3,3 to 5 years,2B
6123,Barnet,3,Over 5 years,4B
6124,Barnet,4,1 to 3 years,3B
6125,Barnet,3,3 to 5 years,2B
6126,Barnet,1,Over 5 years,2B
6127,Barnet,5,Over 5 years,2B
6128,Barnet,3,Over 5 years,2B
6129,Barnet,1,1 to 3 years,3B
6130,Barnet,3,1 to 3 years,3B
6131,Barnet,3,Over 5 years,2B
6132,Barnet,3,3 to 5 years,2B
6133,Barnet,3,1 to 3 years,2B
6134,Barnet,1,1 to 3 years,2B
6136,Barnet,3,3 to 5 years,2B
6137,Barnet,3,Over 5 years,1B
6138,Barnet,3,1 to 3 years,2B
6139,Barnet,3,1 to 3 years,2B
6140,Barnet,3,3 to 5 years,2B
6141,Barnet,3,1 to 3 years,2B
6142,Barnet,3,3 to 5 years,2B
6143,Barnet,3,3 to 5 years,2B
6144,Barnet,3,3 to 5 years,2B
6145,Barnet,3,3 to 5 years,2B
6146,Barnet,3,3 to 5 years,2B
6147,Barnet,3,Over 5 years,2B
6148,Barnet,1,Over 5 years,2B
6149,Barnet,2,3 to 5 years,2B
6151,Barnet,3,3 to 5 years,2B
6152,Barnet,5,3 to 5 years,1B
6153,Barnet,5,3 to 5 years,1B
6155,Barnet,1,Over 5 years,2B
6156,Barnet,3,1 to 3 years,2B
6157,Barnet,3,1 to 3 years,2B
6158,Barnet,3,3 to 5 years,2B
6159,Barnet,5,3 to 5 years,1B
6160,Barnet,3,3 to 5 years,2B
6161,Barnet,5,3 to 5 years,1B
6162,Barnet,3,3 to 5 years,2B
6164,Barnet,3,1 to 3 years,2B
6165,Barnet,3,3 to 5 years,2B
6166,Barnet,2,Over 5 years,2B
6167,Barnet,1,1 to 3 years,2B
6168,Barnet,3,1 to 3 years,2B
6169,Barnet,1,1 to 3 years,2B
6170,Barnet,1,1 to 3 years,2B
6171,Barnet,1,1 to 3 years,4B
6172,Barnet,1,1 to 3 years,4B
6173,Barnet,1,1 to 3 years,2B
6174,Barnet,3,Over 5 years,2B
6175,Barnet,1,3 to 5 years,2B
6176,Barnet,1,Over 5 years,Studio
6177,Barnet,1,1 to 3 years,2B
6178,Barnet,1,1 to 3 years,2B
6179,Barnet,1,1 to 3 years,2B
6180,Barnet,1,1 to 3 years,2B
6181,Barnet,1,1 to 3 years,4B
6182,Barnet,1,1 to 3 years,2B
6183,Barnet,1,1 to 3 years,2B
6184,Barnet,1,1 to 3 years,2B
6185,Barnet,1,1 to 3 years,2B
6186,Barnet,1,1 to 3 years,4B
6187,Barnet,1,1 to 3 years,2B
6188,Barnet,1,1 to 3 years,1B
6189,Barnet,1,1 to 3 years,2B
6190,Barnet,1,1 to 3 years,2B
6191,Barnet,1,1 to 3 years,2B
6192,Barnet,1,Over 5 years,2B
6193,Barnet,3,1 to 3 years,2B
6194,Barnet,3,3 to 5 years,2B
6195,Barnet,1,1 to 3 years,2B
6196,Barnet,3,1 to 3 years,2B
6197,Barnet,3,3 to 5 years,2B
6199,Barnet,1,3 to 5 years,1B
6200,Barnet,1,3 to 5 years,1B
6201,Barnet,1,1 to 3 years,2B
6202,Barnet,3,1 to 3 years,2B
6203,Barnet,5,3 to 5 years,1B
6204,Barnet,1,3 to 5 years,1B
6205,Barnet,1,1 to 3 years,2B
6206,Barnet,3,1 to 3 years,2B
6207,Barnet,3,Over 5 years,2B
6208,Barnet,5,3 to 5 years,1B
6209,Barnet,3,Over 5 years,2B
6210,Barnet,3,Over 5 years,2B
6211,Barnet,1,1 to 3 years,2B
6212,Barnet,3,1 to 3 years,2B
6213,Barnet,1,1 to 3 years,3B
6214,Barnet,5,3 to 5 years,1B
6215,Barnet,3,3 to 5 years,2B
6216,Barnet,1,1 to 3 years,2B
6217,Barnet,3,1 to 3 years,2B
6218,Barnet,3,Over 5 years,2B
6219,Barnet,3,3 to 5 years,1B
6220,Barnet,5,Over 5 years,2B
6221,Barnet,3,Over 5 years,Studio
6222,Barnet,3,1 to 3 years,2B
6224,Barnet,3,Over 5 years,2B
6225,Barnet,1,3 to 5 years,2B
6226,Barnet,3,3 to 5 years,2B
6227,Barnet,3,Over 5 years,2B
6228,Barnet,3,3 to 5 years,3B
6229,Barnet,4,1 to 3 years,3B
6230,Barnet,3,1 to 3 years,4B
6231,Barnet,3,Over 5 years,2B
6232,Barnet,5,1 to 3 years,2B
6233,Barnet,5,3 to 5 years,4B
6234,Barnet,3,1 to 3 years,2B
6235,Barnet,5,3 to 5 years,2B
6236,Barnet,3,Over 5 years,2B
6237,Barnet,1,Over 5 years,4B
6238,Barnet,3,1 to 3 years,4B
6239,Barnet,4,1 to 3 years,2B
6240,Barnet,3,3 to 5 years,5B+
6241,Barnet,5,Over 5 years,3B
6243,Barnet,3,Over 5 years,3B
6244,Barnet,3,3 to 5 years,3B
6245,Barnet,3,Over 5 years,3B
6246,Barnet,1,1 to 3 years,2B
6247,Barnet,3,3 to 5 years,2B
6248,Barnet,3,Over 5 years,2B
6249,Barnet,3,Over 5 years,3B
6251,Barnet,3,1 to 3 years,5B+
6252,Barnet,3,1 to 3 years,4B
6253,Barnet,3,Over 5 years,2B
6255,Barnet,4,Over 5 years,4B
6256,Barnet,1,3 to 5 years,5B+
6257,Barnet,3,1 to 3 years,5B+
6258,Barnet,1,1 to 3 years,4B
6259,Barnet,3,1 to 3 years,2B
6260,Barnet,3,3 to 5 years,3B
6262,Barnet,1,Over 5 years,2B
6263,Barnet,1,3 to 5 years,2B
6264,Barnet,3,Over 5 years,1B
6265,Barnet,3,Over 5 years,2B
6266,Barnet,3,Over 5 years,2B
6267,Barnet,3,3 to 5 years,2B
6268,Barnet,3,Over 5 years,2B
6269,Barnet,3,3 to 5 years,4B
6270,Barnet,1,1 to 3 years,Studio
6271,Barnet,3,1 to 3 years,2B
6273,Barnet,1,Over 5 years,4B
6274,Barnet,3,Over 5 years,1B
6275,Barnet,4,3 to 5 years,4B
6276,Camden,2,1 to 3 years,Unknown
6277,Camden,2,1 to 3 years,Unknown
6278,Camden,2,Over 5 years,Unknown
6279,Camden,2,Over 5 years,Unknown
6280,Camden,4,Over 5 years,Unknown
6281,Camden,4,Over 5 years,Unknown
6282,Camden,2,1 to 3 years,Unknown
6283,Camden,2,3 to 5 years,Unknown
6284,Camden,2,1 to 3 years,Unknown
6285,Camden,4,Unknown,Unknown
6286,Camden,4,Over 5 years,Unknown
6287,Camden,2,Unknown,Unknown
6288,Camden,2,Over 5 years,Unknown
6289,Camden,2,Over 5 years,Unknown
6290,Camden,2,1 to 3 years,Unknown
6291,Camden,2,1 to 3 years,Unknown
6292,Camden,2,1 to 3 years,Unknown
6293,Camden,2,3 to 5 years,Unknown
6294,Camden,2,1 to 3 years,Unknown
6295,Camden,2,1 to 3 years,Unknown
6296,Camden,2,Over 5 years,Unknown
6297,Camden,2,1 to 3 years,Unknown
6298,Camden,2,Over 5 years,Unknown
6299,Camden,2,1 to 3 years,Unknown
6300,Camden,4,Over 5 years,Unknown
6301,Camden,2,Unknown,Unknown
6302,Camden,2,3 to 5 years,Unknown
6303,Camden,3,Over 5 years,Unknown
6304,Camden,2,Over 5 years,Unknown
6305,Camden,4,Over 5 years,Unknown
6306,Camden,2,3 to 5 years,Unknown
6307,Camden,2,3 to 5 years,Unknown
6308,Camden,3,3 to 5 years,Unknown
6309,Camden,2,1 to 3 years,Unknown
6310,Camden,2,1 to 3 years,Unknown
6311,Camden,3,Over 5 years,Unknown
6312,Camden,2,Unknown,Unknown
6313,Camden,4,Over 5 years,Unknown
6314,Camden,2,Unknown,Unknown
6315,Camden,3,Over 5 years,Unknown
6316,Camden,3,Over 5 years,Unknown
6317,Camden,2,1 to 3 years,Unknown
6318,Camden,3,Over 5 years,Unknown
6319,Camden,3,Over 5 years,Unknown
6320,Camden,4,Over 5 years,Unknown
6321,Camden,3,Over 5 years,Unknown
6322,Camden,4,Over 5 years,Unknown
6323,Camden,3,Over 5 years,Unknown
6324,Camden,4,Over 5 years,Unknown
6325,Camden,3,3 to 5 years,Unknown
6326,Camden,3,Over 5 years,Unknown
6327,Camden,3,3 to 5 years,Unknown
6328,Camden,4,Over 5 years,Unknown
6329,Camden,4,Over 5 years,Unknown
6330,Camden,3,Over 5 years,Unknown
6331,Camden,2,Unknown,Unknown
6332,Camden,4,Over 5 years,Unknown
6333,Camden,3,Over 5 years,Unknown
6334,Camden,3,Over 5 years,Unknown
6335,Camden,4,Over 5 years,Unknown
6336,Camden,3,Over 5 years,Unknown
6337,Camden,4,Over 5 years,Unknown
6338,Camden,4,Over 5 years,Unknown
6339,Camden,3,3 to 5 years,Unknown
6340,Camden,3,Over 5 years,Unknown
6341,Camden,3,Over 5 years,Unknown
6342,Camden,4,Over 5 years,Unknown
6343,Camden,4,Over 5 years,Unknown
6344,Camden,3,Over 5 years,Unknown
6345,Camden,3,Over 5 years,Unknown
6346,Camden,3,Over 5 years,Unknown
6347,Camden,3,3 to 5 years,Unknown
6348,Camden,3,Over 5 years,Unknown
6349,Camden,3,Over 5 years,Unknown
6350,Camden,4,Over 5 years,Unknown
6351,Camden,3,Over 5 years,Unknown
6352,Camden,4,Over 5 years,Unknown
6353,Camden,4,Over 5 years,Unknown
6354,Camden,3,3 to 5 years,Unknown
6355,Camden,4,Over 5 years,Unknown
6356,Camden,3,Over 5 years,Unknown
6357,Camden,3,Over 5 years,Unknown
6358,Camden,3,Over 5 years,Unknown
6359,Camden,4,Over 5 years,Unknown
6360,Camden,3,3 to 5 years,Unknown
6361,Camden,3,3 to 5 years,Unknown
6362,Camden,3,3 to 5 years,Unknown
6363,Camden,3,3 to 5 years,Unknown
6364,Camden,3,3 to 5 years,Unknown
6365,Camden,4,Over 5 years,Unknown
6366,Camden,4,Over 5 years,Unknown
6367,Camden,4,Over 5 years,Unknown
6368,Camden,3,3 to 5 years,Unknown
6369,Camden,3,3 to 5 years,Unknown
6370,Camden,3,3 to 5 years,Unknown
6371,Camden,3,3 to 5 years,Unknown
6372,Camden,4,Over 5 years,Unknown
6373,Camden,3,Over 5 years,Unknown
6374,Camden,3,Over 5 years,Unknown
6375,Camden,3,Over 5 years,Unknown
6376,Camden,3,Over 5 years,Unknown
6377,Camden,3,Over 5 years,Unknown
6378,Camden,3,Over 5 years,Unknown
6379,Camden,3,Over 5 years,Unknown
6380,Camden,3,Over 5 years,Unknown
6381,Camden,3,Over 5 years,Unknown
6382,Camden,3,Over 5 years,Unknown
6383,Camden,3,Over 5 years,Unknown
6384,Camden,3,Over 5 years,Unknown
6385,Camden,3,Over 5 years,Unknown
6386,Camden,3,3 to 5 years,Unknown
6387,Camden,3,3 to 5 years,Unknown
6388,Camden,3,Over 5 years,Unknown
6389,Camden,3,3 to 5 years,Unknown
6390,Camden,3,3 to 5 years,Unknown
6391,Camden,2,1 to 3 years,Unknown
6392,Camden,3,3 to 5 years,Unknown
6393,Camden,3,Over 5 years,Unknown
6394,Camden,3,3 to 5 years,Unknown
6395,Camden,3,3 to 5 years,Unknown
6396,Camden,2,1 to 3 years,Unknown
6397,Camden,2,1 to 3 years,Unknown
6398,Camden,3,3 to 5 years,Unknown
6399,Camden,3,3 to 5 years,Unknown
6400,Camden,3,3 to 5 years,Unknown
6401,Camden,3,Over 5 years,Unknown
6402,Camden,3,3 to 5 years,Unknown
6403,Camden,3,3 to 5 years,Unknown
6404,Camden,3,3 to 5 years,Unknown
6405,Camden,2,1 to 3 years,Unknown
6406,Camden,2,1 to 3 years,Unknown
6407,Camden,2,1 to 3 years,Unknown
6408,Camden,2,1 to 3 years,Unknown
6409,Camden,2,1 to 3 years,Unknown
6410,Camden,3,3 to 5 years,Unknown
6411,Camden,3,3 to 5 years,Unknown
6412,Camden,3,Over 5 years,Unknown
6413,Camden,3,Over 5 years,Unknown
6414,Camden,2,1 to 3 years,Unknown
6415,Camden,2,1 to 3 years,Unknown
6416,Camden,2,1 to 3 years,Unknown
6417,Camden,2,1 to 3 years,Unknown
6418,Camden,2,1 to 3 years,Unknown
6419,Camden,3,Over 5 years,Unknown
6420,Camden,3,Over 5 years,Unknown
6421,Camden,2,1 to 3 years,Unknown
6422,Camden,3,Over 5 years,Unknown
6423,Camden,3,Over 5 years,Unknown
6424,Camden,3,Over 5 years,Unknown
6425,Camden,3,Over 5 years,Unknown
6426,Camden,3,3 to 5 years,Unknown
6427,Camden,2,1 to 3 years,Unknown
6428,Camden,2,1 to 3 years,Unknown
6429,Camden,2,1 to 3 years,Unknown
6430,Camden,2,1 to 3 years,Unknown
6431,Camden,2,Over 5 years,Unknown
6432,Camden,3,Over 5 years,Unknown
6433,Camden,2,3 to 5 years,Unknown
6434,Camden,2,3 to 5 years,Unknown
6435,Camden,2,Over 5 years,Unknown
6436,Camden,2,Over 5 years,Unknown
6437,Camden,2,1 to 3 years,Unknown
6438,Camden,2,Over 5 years,Unknown
6439,Camden,3,1 to 3 years,Unknown
6440,Camden,4,1 to 3 years,Unknown
6441,Camden,2,1 to 3 years,Unknown
6442,Camden,2,1 to 3 years,Unknown
6443,Camden,2,1 to 3 years,Unknown
6444,Camden,2,1 to 3 years,Unknown
6445,Camden,2,1 to 3 years,Unknown
6446,Camden,2,1 to 3 years,Unknown
6447,Camden,2,3 to 5 years,Unknown
6448,Camden,1,Over 5 years,Unknown
6449,Camden,2,3 to 5 years,Unknown
6450,Camden,3,1 to 3 years,Unknown
6451,Camden,4,3 to 5 years,Unknown
6452,Camden,2,1 to 3 years,Unknown
6453,Camden,2,1 to 3 years,Unknown
6454,Camden,2,Over 5 years,Unknown
6455,Camden,3,1 to 3 years,Unknown
6456,Camden,2,Over 5 years,Unknown
6457,Camden,3,1 to 3 years,Unknown
6458,Camden,2,Over 5 years,Unknown
6459,Camden,2,1 to 3 years,Unknown
6460,Camden,2,1 to 3 years,Unknown
6461,Camden,2,1 to 3 years,Unknown
6462,Camden,4,3 to 5 years,Unknown
6463,Camden,2,Over 5 years,Unknown
6464,Camden,2,Over 5 years,Unknown
6465,Camden,2,1 to 3 years,Unknown
6466,Camden,2,Over 5 years,Unknown
6467,Camden,2,1 to 3 years,Unknown
6468,Camden,1,Over 5 years,Unknown
6469,Camden,2,1 to 3 years,Unknown
6470,Camden,3,Over 5 years,Unknown
6471,Camden,2,1 to 3 years,Unknown
6472,Camden,3,Over 5 years,Unknown
6473,Camden,2,Over 5 years,Unknown
6474,Camden,3,1 to 3 years,Unknown
6475,Camden,2,1 to 3 years,Unknown
6476,Camden,3,Over 5 years,Unknown
6477,Camden,2,1 to 3 years,Unknown
6478,Camden,2,1 to 3 years,Unknown
6479,Camden,2,Over 5 years,Unknown
6480,Camden,2,Over 5 years,Unknown
6481,Camden,3,1 to 3 years,Unknown
6482,Camden,3,1 to 3 years,Unknown
6483,Camden,3,1 to 3 years,Unknown
6484,Camden,2,1 to 3 years,Unknown
6485,Camden,2,1 to 3 years,Unknown
6486,Camden,2,1 to 3 years,Unknown
6487,Camden,4,Over 5 years,Unknown
6488,Camden,5,Over 5 years,Unknown
6489,Camden,2,1 to 3 years,Unknown
6490,Camden,2,1 to 3 years,Unknown
6491,Camden,2,1 to 3 years,Unknown
6492,Camden,2,1 to 3 years,Unknown
6493,Camden,2,1 to 3 years,Unknown
6494,Camden,2,1 to 3 years,Unknown
6495,Camden,2,Over 5 years,Unknown
6496,Camden,2,Over 5 years,Unknown
6497,Camden,1,Over 5 years,Unknown
6498,Camden,1,Over 5 years,Unknown
6499,Camden,2,1 to 3 years,Unknown
6500,Camden,2,1 to 3 years,Unknown
6501,Camden,2,3 to 5 years,Unknown
6502,Camden,1,Over 5 years,Unknown
6503,Camden,3,Over 5 years,Unknown
6504,Camden,2,1 to 3 years,Unknown
6505,Camden,2,1 to 3 years,Unknown
6506,Camden,2,1 to 3 years,Unknown
6507,Camden,2,Over 5 years,Unknown
6508,Camden,2,1 to 3 years,Unknown
6509,Camden,1,Over 5 years,Unknown
6510,Camden,2,1 to 3 years,Unknown
6511,Camden,3,Over 5 years,Unknown
6512,Camden,3,1 to 3 years,Unknown
6513,Camden,2,1 to 3 years,Unknown
6514,Camden,2,Over 5 years,Unknown
6515,Camden,2,3 to 5 years,Unknown
6516,Camden,2,1 to 3 years,Unknown
6517,Camden,2,1 to 3 years,Unknown
6518,Camden,1,Over 5 years,Unknown
6519,Camden,2,1 to 3 years,Unknown
6520,Camden,3,1 to 3 years,Unknown
6521,Camden,2,3 to 5 years,Unknown
6522,Camden,2,Over 5 years,Unknown
6523,Camden,2,1 to 3 years,Unknown
6524,Camden,3,Over 5 years,Unknown
6525,Camden,1,Over 5 years,Unknown
6526,Camden,2,Over 5 years,Unknown
6527,Camden,2,Over 5 years,Unknown
6528,Camden,3,3 to 5 years,Unknown
6529,Camden,2,1 to 3 years,Unknown
6530,Camden,4,Over 5 years,Unknown
6531,Camden,3,1 to 3 years,Unknown
6532,Camden,2,Over 5 years,Unknown
6533,Camden,4,Over 5 years,Unknown
6534,Camden,2,1 to 3 years,Unknown
6535,Camden,2,1 to 3 years,Unknown
6536,Camden,2,1 to 3 years,Unknown
6537,Camden,2,3 to 5 years,Unknown
6538,Camden,1,Over 5 years,Unknown
6539,Camden,1,Over 5 years,Unknown
6540,Camden,1,Over 5 years,Unknown
6541,Camden,1,Over 5 years,Unknown
6542,Camden,1,Over 5 years,Unknown
6543,Camden,2,1 to 3 years,Unknown
6544,Camden,3,1 to 3 years,Unknown
6545,Camden,3,1 to 3 years,Unknown
6546,Camden,3,1 to 3 years,Unknown
6547,Camden,3,1 to 3 years,Unknown
6548,Camden,3,1 to 3 years,Unknown
6549,Camden,3,1 to 3 years,Unknown
6550,Camden,3,1 to 3 years,Unknown
6551,Camden,3,1 to 3 years,Unknown
6552,Camden,3,1 to 3 years,Unknown
6553,Camden,2,1 to 3 years,Unknown
6554,Camden,2,1 to 3 years,Unknown
6555,Camden,2,Over 5 years,Unknown
6556,Camden,2,1 to 3 years,Unknown
6557,Camden,2,1 to 3 years,Unknown
6558,Camden,2,Over 5 years,Unknown
6559,Camden,2,1 to 3 years,Unknown
6560,Camden,2,1 to 3 years,Unknown
6561,Camden,1,Over 5 years,Unknown
6562,Camden,2,1 to 3 years,Unknown
6563,Camden,2,Over 5 years,Unknown
