GLAID,Borough,Priority,Empty,Bedroom
385,Bexley,2,1 to 3 years,2B
386,Bexley,5,Over 5 years,2B
387,Bexley,2,3 to 5 years,3B
388,Bexley,3,Over 5 years,3B
389,Bexley,2,1 to 3 years,3B
390,Bexley,3,3 to 5 years,3B
391,Bexley,2,1 to 3 years,1B
392,Bexley,2,1 to 3 years,1B
393,Bexley,2,1 to 3 years,3B
403,Bexley,2,1 to 3 years,2B
404,Bexley,3,Over 5 years,2B
405,Bexley,2,1 to 3 years,4B
406,Bexley,2,1 to 3 years,3B
407,Bexley,3,Over 5 years,2B
408,Bexley,2,1 to 3 years,3B
409,Bexley,2,1 to 3 years,2B
410,Bexley,2,1 to 3 years,2B
411,Bexley,3,3 to 5 years,1B
412,Bexley,3,Over 5 years,2B
413,Bexley,3,1 to 3 years,2B
415,Bexley,2,1 to 3 years,3B
416,Bexley,3,3 to 5 years,4B
417,Bexley,4,Over 5 years,3B
419,Bexley,4,Over 5 years,3B
420,Bexley,5,Over 5 years,2B
421,Bexley,3,1 to 3 years,2B
422,Bexley,5,Over 5 years,2B
423,Bexley,3,1 to 3 years,2B
424,Bexley,3,1 to 3 years,3B
425,Bexley,5,Over 5 years,3B
426,Bexley,4,3 to 5 years,3B
427,Bexley,2,1 to 3 years,2B
428,Bexley,3,1 to 3 years,2B
429,Bexley,3,1 to 3 years,3B
430,Bexley,2,1 to 3 years,1B
431,Bexley,4,1 to 3 years,4B
432,Bexley,2,1 to 3 years,2B
433,Bexley,2,3 to 5 years,2B
434,Bexley,3,1 to 3 years,2B
435,Bexley,2,1 to 3 years,2B
436,Bexley,2,1 to 3 years,2B
437,Bexley,2,3 to 5 years,4B
438,Bexley,4,1 to 3 years,4B
439,Bexley,4,1 to 3 years,3B
440,Bexley,2,1 to 3 years,3B
441,Bexley,4,1 to 3 years,4B
442,Bexley,2,3 to 5 years,3B
443,Bexley,2,3 to 5 years,4B
444,Bexley,2,1 to 3 years,3B
445,Bexley,2,1 to 3 years,3B
446,Bexley,2,1 to 3 years,3B
449,Bexley,3,1 to 3 years,2B
450,Bexley,4,3 to 5 years,2B
451,Bexley,3,1 to 3 years,4B
452,Bexley,2,1 to 3 years,4B
453,Bexley,2,1 to 3 years,3B
454,Bexley,5,Over 5 years,2B
455,Bexley,5,Over 5 years,2B
456,Bexley,3,1 to 3 years,2B
457,Bexley,2,1 to 3 years,1B
458,Bexley,2,1 to 3 years,3B
459,Bexley,3,1 to 3 years,3B
460,Bexley,2,1 to 3 years,4B
461,Bexley,4,Over 5 years,2B
462,Bexley,2,3 to 5 years,2B
463,Bexley,2,1 to 3 years,2B
464,Bexley,3,1 to 3 years,4B
465,Bexley,2,1 to 3 years,3B
466,Bexley,2,3 to 5 years,3B
467,Bexley,2,1 to 3 years,4B
